Topic: http://dbpedia.org/resource/Category:Human_female_reproductive_system | Category: AnatomicalStructure | Count: 8 | Popularity: 58.9603
Topic: http://dbpedia.org/resource/Category:Endocrine_system | Category: AnatomicalStructure | Count: 15 | Popularity: 58.8238
Topic: http://dbpedia.org/resource/Category:Articles_containing_video_clips | Category: AnatomicalStructure | Count: 15 | Popularity: 54.6791
Topic: http://dbpedia.org/resource/Category:Angiology | Category: AnatomicalStructure | Count: 9 | Popularity: 51.5698
Topic: http://dbpedia.org/resource/Category:Thorax_(human_anatomy) | Category: AnatomicalStructure | Count: 11 | Popularity: 44.5219
Topic: http://dbpedia.org/resource/Category:Abdomen | Category: AnatomicalStructure | Count: 22 | Popularity: 43.3365
Topic: http://dbpedia.org/resource/Category:Lymphatic_system | Category: AnatomicalStructure | Count: 11 | Popularity: 42.7067
Topic: http://dbpedia.org/resource/Category:Digestive_system | Category: AnatomicalStructure | Count: 33 | Popularity: 41.0473
Topic: http://dbpedia.org/resource/Category:Nervous_system | Category: AnatomicalStructure | Count: 9 | Popularity: 39.2591
Topic: http://dbpedia.org/resource/Category:Muscular_system | Category: AnatomicalStructure | Count: 12 | Popularity: 38.2659
Topic: http://dbpedia.org/resource/Category:Developmental_biology | Category: AnatomicalStructure | Count: 28 | Popularity: 33.0272
Topic: http://dbpedia.org/resource/Category:Mammal_female_reproductive_system | Category: AnatomicalStructure | Count: 18 | Popularity: 32.9904
Topic: http://dbpedia.org/resource/Category:Human_throat | Category: AnatomicalStructure | Count: 8 | Popularity: 32.3787
Topic: http://dbpedia.org/resource/Category:Glands | Category: AnatomicalStructure | Count: 16 | Popularity: 31.6271
Topic: http://dbpedia.org/resource/Category:Human_head_and_neck | Category: AnatomicalStructure | Count: 36 | Popularity: 30.6155
Topic: http://dbpedia.org/resource/Category:Animals | Category: Animal | Count: 9 | Popularity: 549.393
Topic: http://dbpedia.org/resource/Category:Arthropods | Category: Animal | Count: 14 | Popularity: 223.402
Topic: http://dbpedia.org/resource/Category:Household_pest_insects | Category: Animal | Count: 9 | Popularity: 171.159
Topic: http://dbpedia.org/resource/Category:Moths | Category: Animal | Count: 16 | Popularity: 103.749
Topic: http://dbpedia.org/resource/Category:Pollinators | Category: Animal | Count: 26 | Popularity: 89.1444
Topic: http://dbpedia.org/resource/Category:Herbivorous_animals | Category: Animal | Count: 18 | Popularity: 64.3135
Topic: http://dbpedia.org/resource/Category:Livestock | Category: Animal | Count: 16 | Popularity: 61.3184
Topic: http://dbpedia.org/resource/Category:Agricultural_pest_insects | Category: Animal | Count: 28 | Popularity: 60.6361
Topic: http://dbpedia.org/resource/Category:Gastropods | Category: Animal | Count: 20 | Popularity: 54.5442
Topic: http://dbpedia.org/resource/Category:Mammals_with_sequenced_genomes | Category: Animal | Count: 25 | Popularity: 49.5437
Topic: http://dbpedia.org/resource/Category:Cosmopolitan_animals | Category: Animal | Count: 10 | Popularity: 45.6378
Topic: http://dbpedia.org/resource/Category:Megafauna_of_North_Asia | Category: Animal | Count: 13 | Popularity: 44.2055
Topic: http://dbpedia.org/resource/Category:Model_organisms | Category: Animal | Count: 17 | Popularity: 43.8648
Topic: http://dbpedia.org/resource/Category:Fauna_of_Siberia | Category: Animal | Count: 9 | Popularity: 39.8169
Topic: http://dbpedia.org/resource/Category:Equus | Category: Animal | Count: 8 | Popularity: 38.4512
